datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name
2025-01-01 00:01:53+08:00,1,433.92,0,10.71,25.03,1.88,9.88,11.12,5.13,Himamaylan
2025-01-01 00:01:54+08:00,2,514.03,0,7.2,24.68,0.76,14.1,16.15,5.45,Ilagan
2025-01-01 00:01:57+08:00,1,213.62,0,3.13,30.4,2.18,1.81,2.17,0.39,Iligan City
2025-01-01 00:01:59+08:00,1,287.06,0,2.91,32.54,0.98,6.11,6.59,1.05,Iloilo City
2025-01-01 00:02:01+08:00,3,1588.82,11.4,50.72,0,30.52,46.08,69.62,9.63,Imus
2025-01-01 00:02:02+08:00,1,243.66,0,1.74,27.18,7.63,5.14,5.88,0.87,Iriga City
2025-01-01 00:02:04+08:00,1,293.73,0,4.88,33.26,1.37,4.42,5.23,1.66,Isabela
2025-01-01 00:02:05+08:00,2,574.11,0.01,15.08,19.31,2.62,17.64,19.72,14.19,Kabankalan
2025-01-01 00:02:07+08:00,2,761.03,0.48,21.25,1.14,4.05,23.95,28.38,27.61,Kidapawan
2025-01-01 00:02:10+08:00,2,520.71,0.02,8.05,9.39,1.19,11.84,13.85,7.79,Koronadal
2025-01-01 00:02:11+08:00,1,243.66,0,2.34,35.41,1.09,3.3,4.2,0.6,La Carlota
2025-01-01 00:02:13+08:00,1,297.07,0.01,5.4,11.8,1.03,6.59,7.37,3.99,Lamitan
2025-01-01 00:02:14+08:00,2,247,0,0.74,78.68,0.25,4.79,6.1,0.31,Laoag
2025-01-01 00:02:17+08:00,2,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,Lapu-Lapu City
2025-01-01 00:02:19+08:00,3,1588.82,11.4,50.72,0,30.52,46.08,69.62,9.63,Las Pi̱as
2025-01-01 00:02:22+08:00,1,240.33,0,2.51,33.62,8.46,4.33,5.01,0.66,Legazpi City
2025-01-01 00:02:23+08:00,1,233.65,0,1.31,33.62,10.61,6.07,6.78,0.65,Ligao
2025-01-01 00:02:25+08:00,1,267.03,0,4.24,33.62,2.03,2.47,6.06,2.03,Lipa City
2025-01-01 00:02:27+08:00,1,267.03,0,2.19,30.04,0.76,5.57,6.07,0.93,Lucena
2025-01-01 00:02:28+08:00,1,267.03,0,2.19,30.04,0.76,5.57,6.07,0.93,Maasin
2025-01-01 00:02:31+08:00,2,620.84,0.02,16.79,18.77,3.04,15.57,19.38,17.23,Mabalacat City
2025-01-01 00:02:32+08:00,3,1695.63,26.6,34.62,0,24.56,44.61,65.54,5.76,Makati City
2025-01-01 00:02:34+08:00,2,460.63,0,4.41,53.64,1.82,24.34,28.62,1.76,Malabon
2025-01-01 00:02:36+08:00,1,417.23,0.23,11.82,1.48,1.45,7.87,10.05,11.4,Malaybalay
2025-01-01 00:02:38+08:00,2,554.09,0.09,13.02,14.84,2.89,12.31,19.61,6.33,Malolos
2025-01-01 00:02:40+08:00,3,1695.63,26.6,34.62,0,24.56,44.61,65.54,5.76,Mandaluyong City
2025-01-01 00:02:42+08:00,2,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,Mandaue City
2025-01-01 00:02:45+08:00,3,667.57,0.09,15.42,6.35,2.56,27.25,30.33,22.55,Marawi
2025-01-01 00:02:48+08:00,1,191.93,0,1.37,40.05,0.54,0.75,0.86,0.09,Mati
